a,Katakana a,ア,katakana
i,Katakana i,イ,katakana
u,Katakana u,ウ,katakana
e,Katakana e,エ,katakana
o,Katakana o,オ,katakana
ka,Katakana ka,カ,katakana
ki,Katakana ki,キ,katakana
ku,Katakana ku,ク,katakana
ke,Katakana ke,ケ,katakana
ko,Katakana ko,コ,katakana
sa,Katakana sa,サ,katakana
shi,Katakana shi,シ,katakana
su,Katakana su,ス,katakana
se,Katakana se,セ,katakana
so,Katakana so,ソ,katakana
ta,Katakana ta,タ,katakana
chi,Katakana chi,チ,katakana
tsu,Katakana tsu,ツ,katakana
te,Katakana te,テ,katakana
to,Katakana to,ト,katakana
na,Katakana na,ナ,katakana
ni,Katakana ni,ニ,katakana
nu,Katakana nu,ヌ,katakana
ne,Katakana ne,ネ,katakana
no,Katakana no,ノ,katakana
ha,Katakana ha,ハ,katakana
hi,Katakana hi,ヒ,katakana
fu,Katakana fu,フ,katakana
he,Katakana he,ヘ,katakana
ho,Katakana ho,ホ,katakana
ma,Katakana ma,マ,katakana
mi,Katakana mi,ミ,katakana
mu,Katakana mu,ム,katakana
me,Katakana me,メ,katakana
mo,Katakana mo,モ,katakana
ya,Katakana ya,ヤ,katakana
yu,Katakana yu,ユ,katakana
yo,Katakana yo,ヨ,katakana
ra,Katakana ra,ラ,katakana
ri,Katakana ri,リ,katakana
ru,Katakana ru,ル,katakana
re,Katakana re,レ,katakana
ro,Katakana ro,ロ,katakana
wa,Katakana wa,ワ,katakana
wo,Katakana wo,ヲ,katakana
n,Katakana n,ン,katakana
