kazoku,family,かぞく
ojiisan,grandfather,おじいさん
obaasan,grandmother,おばあさん
oniisan,older brother,おにいさん
oneesan,older sister,おねえさん
chichi,my father,ちち
haha,my mother,はは
ani,my older brother,あに
ane,my older sister,あね
otokonohito,man,おとこのひと
onnanohito,woman,おんなのひと
kaishya,company,かいしゃ
shyokudou,cafeteria,しょくどう
depaato,department store,デパート
kami,hair,かみ
kuchi,mouth,くち
me,eye,め
megane,glasses,めがね
uta,song,うた
saakuru,club activity,サークル
kuruma,car,くるま
nagai,long,ながい
mijikai,short (length),みじかい
hayai,fast,はやい
segatakai,tall (stature),せがたかい
segahikui,short (stature),せがひくい
atamagaii,bright,あたまがいい
kawaii,cute,かわいい
