arau,to wash,あらう
iu,to say,いう
iru,to need,いる
osoku naru,to be late,おそくなる
ofuro ni hairu,to take a bath,おふろにはいる
omou,to think,おもう
kiru,to cut,きる
tsukuru,to make,つくる
ame ga furu,rain falls,あめがふる
yuki ga furu,snow falls,ゆきがふる
motte iku,to take something,もっていく
suteru,to throw away,すてる
hajimeru,to begin,はじめる
unten suru,to drive,うんてんする
sentaku suru,to do laundry,せんたくする
souji suru,to clean,そうじする
ryouri suru,to cook,りょうりする
un,yes,うん
uun,no,ううん
itsumo,always,いつも
osoku,do something late,おそく
kanpai,cheers,かんぱい
minna de,all together,みんなで
zannen,that's too bad,ざんねん
mada,not yet,まだ
ni tsuite,about,について
do,degree,ど
dou,how,どう
